Type,id,location,integer_decisions,charge_integer_decisions,discharge_integer_decisions,storage--commodity,storage--can_expand,storage--can_retire,storage--long_duration,storage--existing_capacity,storage--min_capacity,storage--capacity_size,storage--investment_cost,storage--fixed_om_cost,storage--variable_om_cost,storage--wacc,storage--lifetime,storage--capital_recovery_period,storage--loss_fraction,storage--min_duration,storage--max_duration,storage--min_storage_level,storage--max_storage_level,storage--constraints--BalanceConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--MinStorageLevelConstraint,storage--constraints--LongDurationStorageImplicitMinMaxConstraint,storage--constraints--MaxStorageLevelConstraint,edges--charge_edge--type,edges--charge_edge--commodity,edges--charge_edge--start_vertex,edges--charge_edge--unidirectional,edges--charge_edge--has_capacity,edges--charge_edge--can_expand,edges--charge_edge--can_retire,edges--charge_edge--existing_capacity,edges--charge_edge--capacity_size,edges--charge_edge--investment_cost,edges--charge_edge--fixed_om_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--wacc,edges--charge_edge--lifetime,edges--charge_edge--capital_recovery_period,edges--charge_edge--efficiency,edges--charge_edge--loss_fraction,edges--charge_edge--min_flow_fraction,edges--charge_edge--ramp_up_fraction,edges--charge_edge--ramp_down_fraction,edges--charge_edge--constraints--CapacityConstraint,edges--charge_edge--constraints--MinFlowConstraint,edges--charge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--type,edges--discharge_edge--commodity,edges--discharge_edge--end_vertex,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--existing_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--retirement_period,edges--discharge_edge--investment_cost,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--wacc,edges--discharge_edge--lifetime,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--efficiency,edges--discharge_edge--loss_fraction,edges--discharge_edge--min_flow_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--MinFlowConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--charge_electricity_consumption,transforms--discharge_electricity_consumption,edges--external_charge_edge--type,edges--external_charge_edge--start_vertex,edges--external_charge_edge--unidirectional,edges--external_charge_edge--has_capacity,edges--external_discharge_edge--type,edges--external_discharge_edge--end_vertex,edges--external_discharge_edge--unidirectional,edges--external_discharge_edge--has_capacity,edges--charge_elec_edge--type,edges--charge_elec_edge--start_vertex,edges--charge_elec_edge--unidirectional,edges--charge_elec_edge--has_capacity,edges--discharge_elec_edge--type,edges--discharge_elec_edge--start_vertex,edges--discharge_elec_edge--unidirectional,edges--discharge_elec_edge--has_capacity
GasStorage,Region1Beijing_H2Tank_ST,Region1Beijing,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region1Beijing,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region1Beijing,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region1Beijing,TRUE,FALSE,Hydrogen,h2_Region1Beijing,TRUE,FALSE,Electricity,elec_Region1Beijing,TRUE,FALSE,Electricity,elec_Region1Beijing,TRUE,FALSE
GasStorage,Region2Tianjin_H2Tank_ST,Region2Tianjin,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region2Tianjin,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region2Tianjin,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region2Tianjin,TRUE,FALSE,Hydrogen,h2_Region2Tianjin,TRUE,FALSE,Electricity,elec_Region2Tianjin,TRUE,FALSE,Electricity,elec_Region2Tianjin,TRUE,FALSE
GasStorage,Region3Hebei_H2Tank_ST,Region3Hebei,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region3Hebei,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region3Hebei,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region3Hebei,TRUE,FALSE,Hydrogen,h2_Region3Hebei,TRUE,FALSE,Electricity,elec_Region3Hebei,TRUE,FALSE,Electricity,elec_Region3Hebei,TRUE,FALSE
GasStorage,Region4Shanxi_H2Tank_ST,Region4Shanxi,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region4Shanxi,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region4Shanxi,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region4Shanxi,TRUE,FALSE,Hydrogen,h2_Region4Shanxi,TRUE,FALSE,Electricity,elec_Region4Shanxi,TRUE,FALSE,Electricity,elec_Region4Shanxi,TRUE,FALSE
GasStorage,Region5Innermongolia_H2Tank_ST,Region5Innermongolia,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region5Innermongolia,TRUE,FALSE,Hydrogen,h2_Region5Innermongolia,TRUE,FALSE,Electricity,elec_Region5Innermongolia,TRUE,FALSE,Electricity,elec_Region5Innermongolia,TRUE,FALSE
GasStorage,Region6Liaoning_H2Tank_ST,Region6Liaoning,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region6Liaoning,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region6Liaoning,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region6Liaoning,TRUE,FALSE,Hydrogen,h2_Region6Liaoning,TRUE,FALSE,Electricity,elec_Region6Liaoning,TRUE,FALSE,Electricity,elec_Region6Liaoning,TRUE,FALSE
GasStorage,Region7Jilin_H2Tank_ST,Region7Jilin,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region7Jilin,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region7Jilin,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region7Jilin,TRUE,FALSE,Hydrogen,h2_Region7Jilin,TRUE,FALSE,Electricity,elec_Region7Jilin,TRUE,FALSE,Electricity,elec_Region7Jilin,TRUE,FALSE
GasStorage,Region8Heilongjiang_H2Tank_ST,Region8Heilongjiang,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region8Heilongjiang,TRUE,FALSE,Hydrogen,h2_Region8Heilongjiang,TRUE,FALSE,Electricity,elec_Region8Heilongjiang,TRUE,FALSE,Electricity,elec_Region8Heilongjiang,TRUE,FALSE
GasStorage,Region9Shanghai_H2Tank_ST,Region9Shanghai,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region9Shanghai,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region9Shanghai,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region9Shanghai,TRUE,FALSE,Hydrogen,h2_Region9Shanghai,TRUE,FALSE,Electricity,elec_Region9Shanghai,TRUE,FALSE,Electricity,elec_Region9Shanghai,TRUE,FALSE
GasStorage,Region10Jiangsu_H2Tank_ST,Region10Jiangsu,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region10Jiangsu,TRUE,FALSE,Hydrogen,h2_Region10Jiangsu,TRUE,FALSE,Electricity,elec_Region10Jiangsu,TRUE,FALSE,Electricity,elec_Region10Jiangsu,TRUE,FALSE
GasStorage,Region11Zhejiang_H2Tank_ST,Region11Zhejiang,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region11Zhejiang,TRUE,FALSE,Hydrogen,h2_Region11Zhejiang,TRUE,FALSE,Electricity,elec_Region11Zhejiang,TRUE,FALSE,Electricity,elec_Region11Zhejiang,TRUE,FALSE
GasStorage,Region12Anhui_H2Tank_ST,Region12Anhui,FALSE,FALSE,FALSE,Hydrogen,TRUE,TRUE,FALSE,0,0,500,21200,212,0,0.08,25,25,0,4,72,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region12Anhui,TRUE,TRUE,TRUE,TRUE,0,20,62000,2500,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,Hydrogen,h2_Region12Anhui,TRUE,TRUE,TRUE,TRUE,0,20,20,0,0,0,0.08,25,25,1,0,0,1,1,TRUE,FALSE,FALSE,Hydrogen,TRUE,0.09,0,Hydrogen,h2_Region12Anhui,TRUE,FALSE,Hydrogen,h2_Region12Anhui,TRUE,FALSE,Electricity,elec_Region12Anhui,TRUE,FALSE,Electricity,elec_Region12Anhui,TRUE,FALSE
