Type,id,edges--transmission_edge--unidirectional,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--can_retire,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--loss_fraction,edges--transmission_edge--end_vertex,edges--transmission_edge--max_capacity,edges--transmission_edge--max_new_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost
TransmissionLink,TL_E_ExistingCandidate_AC_R1Beijing_to_R2Tianjin,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region1Beijing,0.02268,elec_Region2Tianjin,12000,9600,TRUE,2400,44290.61166666666,437.8892592592593
TransmissionLink,TL_E_ExistingCandidate_AC_R1Beijing_to_R3Hebei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region1Beijing,0.01740208333333333,elec_Region3Hebei,76800,49600,TRUE,27200,110649.6942921147,1050.281886574074
TransmissionLink,TL_E_ExistingCandidate_AC_R2Tianjin_to_R3Hebei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region2Tianjin,0.01753118279569892,elec_Region3Hebei,74400,49600,TRUE,24800,97451.01910394266,928.9571684587811
TransmissionLink,TL_E_ExistingCandidate_AC_R2Tianjin_to_R15Shandong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region2Tianjin,0.01666666666666667,elec_Region15Shandong,30000,20000,TRUE,10000,123368.8888888889,1167.948148148148
TransmissionLink,TL_E_ExistingCandidate_AC_R3Hebei_to_R4Shanxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01805244444444444,elec_Region4Shanxi,90000,59200,TRUE,30800,97422.9283033033,950.4312839506173
TransmissionLink,TL_E_ExistingCandidate_AC_R3Hebei_to_R5Innermongolia,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01859503022162525,elec_Region5Innermongolia,59560,29600,TRUE,29960,134073.0732582583,1198.888758301619
TransmissionLink,TL_E_Existing_AC_R3Hebei_to_R6Liaoning,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01,elec_Region6Liaoning,2000,0,FALSE,2000,38997.22222222222,389.9722222222222
TransmissionLink,TL_E_ExistingCandidate_AC_R3Hebei_to_R15Shandong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.01753118279569892,elec_Region15Shandong,74400,49600,TRUE,24800,162045.0666577061,1574.594758064516
TransmissionLink,TL_E_Existing_AC_R3Hebei_to_R16Henan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region16Henan,1000,0,FALSE,1000,42391.66666666666,423.9166666666666
TransmissionLink,TL_E_Existing_AC_R3Hebei_to_R27Shaanxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.025,elec_Region27Shaanxi,4000,0,FALSE,4000,139002.7777777778,1390.027777777778
TransmissionLink,TL_E_ExistingCandidate_AC_R4Shanxi_to_R5Innermongolia,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.01666666666666667,elec_Region5Innermongolia,60000,40000,TRUE,20000,118248.8888888889,1116.748148148148
TransmissionLink,TL_E_ExistingCandidate_AC_R4Shanxi_to_R10Jiangsu,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.01636363636363636,elec_Region10Jiangsu,22000,20000,TRUE,2000,200216.8888888889,1962.89898989899
TransmissionLink,TL_E_ExistingCandidate_AC_R4Shanxi_to_R16Henan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.015,elec_Region16Henan,15000,10000,TRUE,5000,136808.8888888889,1302.348148148148
TransmissionLink,TL_E_ExistingCandidate_AC_R4Shanxi_to_R27Shaanxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.016,elec_Region27Shaanxi,50000,40000,TRUE,10000,150304.8888888889,1408.772222222222
TransmissionLink,TL_E_Candidate_AC_R4Shanxi_to_R28Gansu,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.02,elec_Region28Gansu,20000,20000,TRUE,0,144058.8875,1440.588888888889
TransmissionLink,TL_E_ExistingCandidate_AC_R5Innermongolia_to_R6Liaoning,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02251428571428572,elec_Region6Liaoning,16800,9600,TRUE,7200,139663.9222222222,1113.204365079365
TransmissionLink,TL_E_ExistingCandidate_AC_R5Innermongolia_to_R7Jilin,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02341818181818182,elec_Region7Jilin,13200,9600,TRUE,3600,160282.9166666667,1366.22803030303
TransmissionLink,TL_E_ExistingCandidate_AC_R5Innermongolia_to_R8Heilongjiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02384,elec_Region8Heilongjiang,12000,9600,TRUE,2400,176979.0444444444,1562.890555555556
TransmissionLink,TL_E_ExistingCandidate_AC_R6Liaoning_to_R7Jilin,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region6Liaoning,0.02306666666666667,elec_Region7Jilin,14400,9600,TRUE,4800,63133.70902777778,665.9888888888888
TransmissionLink,TL_E_ExistingCandidate_AC_R7Jilin_to_R8Heilongjiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region7Jilin,0.02306666666666667,elec_Region8Heilongjiang,14400,9600,TRUE,4800,57647.54930555556,629.4138888888889
TransmissionLink,TL_E_ExistingCandidate_AC_R9Shanghai_to_R10Jiangsu,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region9Shanghai,0.01584371584699453,elec_Region10Jiangsu,36600,22000,TRUE,14600,130234.3434722222,1155.574605343048
TransmissionLink,TL_E_ExistingCandidate_AC_R9Shanghai_to_R11Zhejiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region9Shanghai,0.01577023809523809,elec_Region11Zhejiang,33600,20000,TRUE,13600,100888.8888888889,886.3272156084656
TransmissionLink,TL_E_Existing_AC_R10Jiangsu_to_R11Zhejiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.0083,elec_Region11Zhejiang,3600,0,FALSE,3600,41281.94444444445,412.8194444444444
TransmissionLink,TL_E_ExistingCandidate_AC_R10Jiangsu_to_R12Anhui,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.01774632034632035,elec_Region12Anhui,46200,31600,TRUE,14600,112680.2544831223,1091.251623376623
TransmissionLink,TL_E_Candidate_AC_R10Jiangsu_to_R15Shandong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.015,elec_Region15Shandong,20000,20000,TRUE,0,121928.4869444444,1219.284722222222
TransmissionLink,TL_E_ExistingCandidate_AC_R11Zhejiang_to_R12Anhui,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.01756396396396397,elec_Region12Anhui,44400,29600,TRUE,14800,130790.5441141141,1234.148748748749
TransmissionLink,TL_E_ExistingCandidate_AC_R11Zhejiang_to_R13Fujian,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.01778255033557047,elec_Region13Fujian,44700,30600,TRUE,14100,143535.6124945534,1370.660831469053
TransmissionLink,TL_E_Candidate_AC_R11Zhejiang_to_R14Jiangxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.015,elec_Region14Jiangxi,20000,20000,TRUE,0,115031.6252777778,1150.316666666666
TransmissionLink,TL_E_Candidate_AC_R12Anhui_to_R17Hubei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region12Anhui,0.015,elec_Region17Hubei,20000,20000,TRUE,0,104371.8961111111,1043.719444444444
TransmissionLink,TL_E_Candidate_AC_R13Fujian_to_R14Jiangxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region13Fujian,0.015,elec_Region14Jiangxi,20000,20000,TRUE,0,114388.1945833333,1143.881944444444
TransmissionLink,TL_E_Candidate_AC_R13Fujian_to_R19Guangdong,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region13Fujian,0.025,elec_Region19Guangdong,4800,4800,TRUE,0,87246.29625,872.4624999999999
TransmissionLink,TL_E_ExistingCandidate_AC_R14Jiangxi_to_R17Hubei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region14Jiangxi,0.01713253012048193,elec_Region17Hubei,33200,29600,TRUE,3600,111155.8374474474,1056.885107095047
TransmissionLink,TL_E_Candidate_AC_R14Jiangxi_to_R18Hunan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region14Jiangxi,0.015,elec_Region18Hunan,20000,20000,TRUE,0,134456.8888888889,1344.569444444444
TransmissionLink,TL_E_Candidate_AC_R15Shandong_to_R16Henan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region15Shandong,0.015,elec_Region16Henan,20000,20000,TRUE,0,134632.8888888889,1346.329166666667
TransmissionLink,TL_E_ExistingCandidate_AC_R16Henan_to_R17Hubei,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region16Henan,0.01589913544668588,elec_Region17Hubei,69400,59600,TRUE,9800,127432.7726472782,1211.635910983029
TransmissionLink,TL_E_ExistingCandidate_AC_R17Hubei_to_R18Hunan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region17Hubei,0.02036363636363637,elec_Region18Hunan,13200,9600,TRUE,3600,63671.42291666666,628.704797979798
TransmissionLink,TL_E_ExistingCandidate_AC_R17Hubei_to_R22Chongqing,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region17Hubei,0.01933333333333333,elec_Region22Chongqing,14400,9600,TRUE,4800,114616.7651388889,966.561111111111
TransmissionLink,TL_E_Existing_AC_R18Hunan_to_R24Guizhou,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region18Hunan,0.02,elec_Region24Guizhou,2500,0,FALSE,2500,91347.22222222222,913.4722222222221
TransmissionLink,TL_E_ExistingCandidate_AC_R19Guangdong_to_R20Guangxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region19Guangdong,0.02425,elec_Region20Guangxi,19200,9600,TRUE,9600,87200.4336111111,1150.272916666666
TransmissionLink,TL_E_ExistingCandidate_AC_R19Guangdong_to_R21Hainan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region19Guangdong,0.02444444444444445,elec_Region21Hainan,10800,9600,TRUE,1200,82420.94402777776,872.4755144032922
TransmissionLink,TL_E_Candidate_AC_R19Guangdong_to_R24Guizhou,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region19Guangdong,0.025,elec_Region24Guizhou,9600,9600,TRUE,0,115082.2351388889,1150.822222222222
TransmissionLink,TL_E_ExistingCandidate_AC_R20Guangxi_to_R24Guizhou,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region20Guangxi,0.02285714285714286,elec_Region24Guizhou,16800,9600,TRUE,7200,81007.61375,1468.820105820106
TransmissionLink,TL_E_ExistingCandidate_AC_R20Guangxi_to_R25Yunnan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region20Guangxi,0.0245,elec_Region25Yunnan,14400,9600,TRUE,4800,99886.79180555555,939.006172839506
TransmissionLink,TL_E_ExistingCandidate_AC_R22Chongqing_to_R23Sichuan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region22Chongqing,0.01681395348837209,elec_Region23Sichuan,34400,29600,TRUE,4800,87699.40052552553,839.3691537467702
TransmissionLink,TL_E_Existing_AC_R22Chongqing_to_R24Guizhou,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region22Chongqing,0.02,elec_Region24Guizhou,2640,0,FALSE,2640,45343.01346801347,453.4301346801346
TransmissionLink,TL_E_Candidate_AC_R22Chongqing_to_R27Shaanxi,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region22Chongqing,0.015,elec_Region27Shaanxi,20000,20000,TRUE,0,124318.0343055555,1243.180555555555
TransmissionLink,TL_E_ExistingCandidate_AC_R23Sichuan_to_R26Tibet,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.01528301886792453,elec_Region26Tibet,10600,10000,TRUE,600,158747.3125,1759.962002096436
TransmissionLink,TL_E_Candidate_AC_R23Sichuan_to_R28Gansu,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.015,elec_Region28Gansu,20000,20000,TRUE,0,126632.2113888889,1266.322222222222
TransmissionLink,TL_E_Candidate_AC_R24Guizhou_to_R25Yunnan,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region24Guizhou,0.025,elec_Region25Yunnan,9600,9600,TRUE,0,79629.99513888889,796.3
TransmissionLink,TL_E_ExistingCandidate_AC_R27Shaanxi_to_R28Gansu,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.01276666666666667,elec_Region28Gansu,30000,20000,TRUE,10000,119950.2597222222,1163.427777777778
TransmissionLink,TL_E_ExistingCandidate_AC_R28Gansu_to_R29Qinghai,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region28Gansu,0.01498571428571429,elec_Region29Qinghai,35000,20000,TRUE,15000,96171.00666666667,1012.36726984127
TransmissionLink,TL_E_ExistingCandidate_AC_R28Gansu_to_R30Ningxia,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region28Gansu,0.0161,elec_Region30Ningxia,30000,20000,TRUE,10000,108873.8805555556,1016.198333333333
TransmissionLink,TL_E_ExistingCandidate_AC_R28Gansu_to_R31Xinjiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region28Gansu,0.0161,elec_Region31Xinjiang,30000,20000,TRUE,10000,206216.5652777778,1852.46462962963
TransmissionLink,TL_E_Candidate_AC_R29Qinghai_to_R31Xinjiang,FALSE,TRUE,Electricity,0.062,40,40,FALSE,TRUE,TRUE,TRUE,elec_Region29Qinghai,0.02,elec_Region31Xinjiang,20000,20000,TRUE,0,192534.7527777778,1925.347222222222
