Type,id,location,integer_decisions,transforms--constraints--BalanceConstraint,transforms--timedata,transforms--fuel_consumption,transforms--electricity_consumption,transforms--emission_rate,transforms--capture_rate,edges--elec_edge--commodity,edges--elec_edge--start_vertex,edges--elec_edge--has_capacity,edges--h2_edge--commodity,edges--h2_edge--end_vertex,edges--h2_edge--has_capacity,edges--h2_edge--uc,edges--h2_edge--can_expand,edges--h2_edge--can_retire,edges--h2_edge--existing_capacity,edges--h2_edge--capacity_size,edges--h2_edge--integer_decisions,edges--h2_edge--investment_cost,edges--h2_edge--fixed_om_cost,edges--h2_edge--variable_om_cost,edges--h2_edge--startup_cost,edges--h2_edge--startup_fuel_consumption,edges--h2_edge--wacc,edges--h2_edge--lifetime,edges--h2_edge--capital_recovery_period,edges--h2_edge--min_flow_fraction,edges--h2_edge--ramp_up_fraction,edges--h2_edge--ramp_down_fraction,edges--h2_edge--min_up_time,edges--h2_edge--min_down_time,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex,edges--co2_captured_edge--has_capacity
ThermalHydrogenCCS,Region1Beijing_CoalGasification_CCS,Region1Beijing,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region1Beijing,FALSE,Hydrogen,h2_Region1Beijing,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region1Beijing,FALSE,CO2,co2_Region1Beijing,co2_sink_national,FALSE,CO2Captured,co2captured_Region1Beijing,FALSE
ThermalHydrogenCCS,Region2Tianjin_CoalGasification_CCS,Region2Tianjin,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region2Tianjin,FALSE,Hydrogen,h2_Region2Tianjin,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region2Tianjin,FALSE,CO2,co2_Region2Tianjin,co2_sink_national,FALSE,CO2Captured,co2captured_Region2Tianjin,FALSE
ThermalHydrogenCCS,Region3Hebei_CoalGasification_CCS,Region3Hebei,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region3Hebei,FALSE,Hydrogen,h2_Region3Hebei,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region3Hebei,FALSE,CO2,co2_Region3Hebei,co2_sink_national,FALSE,CO2Captured,co2captured_Region3Hebei,FALSE
ThermalHydrogenCCS,Region4Shanxi_CoalGasification_CCS,Region4Shanxi,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region4Shanxi,FALSE,Hydrogen,h2_Region4Shanxi,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region4Shanxi,FALSE,CO2,co2_Region4Shanxi,co2_sink_national,FALSE,CO2Captured,co2captured_Region4Shanxi,FALSE
ThermalHydrogenCCS,Region5Innermongolia_CoalGasification_CCS,Region5Innermongolia,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region5Innermongolia,FALSE,Hydrogen,h2_Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region5Innermongolia,FALSE,CO2,co2_Region5Innermongolia,co2_sink_national,FALSE,CO2Captured,co2captured_Region5Innermongolia,FALSE
ThermalHydrogenCCS,Region6Liaoning_CoalGasification_CCS,Region6Liaoning,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region6Liaoning,FALSE,Hydrogen,h2_Region6Liaoning,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region6Liaoning,FALSE,CO2,co2_Region6Liaoning,co2_sink_national,FALSE,CO2Captured,co2captured_Region6Liaoning,FALSE
ThermalHydrogenCCS,Region7Jilin_CoalGasification_CCS,Region7Jilin,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region7Jilin,FALSE,Hydrogen,h2_Region7Jilin,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region7Jilin,FALSE,CO2,co2_Region7Jilin,co2_sink_national,FALSE,CO2Captured,co2captured_Region7Jilin,FALSE
ThermalHydrogenCCS,Region8Heilongjiang_CoalGasification_CCS,Region8Heilongjiang,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region8Heilongjiang,FALSE,Hydrogen,h2_Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region8Heilongjiang,FALSE,CO2,co2_Region8Heilongjiang,co2_sink_national,FALSE,CO2Captured,co2captured_Region8Heilongjiang,FALSE
ThermalHydrogenCCS,Region9Shanghai_CoalGasification_CCS,Region9Shanghai,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region9Shanghai,FALSE,Hydrogen,h2_Region9Shanghai,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region9Shanghai,FALSE,CO2,co2_Region9Shanghai,co2_sink_national,FALSE,CO2Captured,co2captured_Region9Shanghai,FALSE
ThermalHydrogenCCS,Region10Jiangsu_CoalGasification_CCS,Region10Jiangsu,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region10Jiangsu,FALSE,Hydrogen,h2_Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region10Jiangsu,FALSE,CO2,co2_Region10Jiangsu,co2_sink_national,FALSE,CO2Captured,co2captured_Region10Jiangsu,FALSE
ThermalHydrogenCCS,Region11Zhejiang_CoalGasification_CCS,Region11Zhejiang,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region11Zhejiang,FALSE,Hydrogen,h2_Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region11Zhejiang,FALSE,CO2,co2_Region11Zhejiang,co2_sink_national,FALSE,CO2Captured,co2captured_Region11Zhejiang,FALSE
ThermalHydrogenCCS,Region12Anhui_CoalGasification_CCS,Region12Anhui,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region12Anhui,FALSE,Hydrogen,h2_Region12Anhui,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region12Anhui,FALSE,CO2,co2_Region12Anhui,co2_sink_national,FALSE,CO2Captured,co2captured_Region12Anhui,FALSE
ThermalHydrogenCCS,Region13Fujian_CoalGasification_CCS,Region13Fujian,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region13Fujian,FALSE,Hydrogen,h2_Region13Fujian,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region13Fujian,FALSE,CO2,co2_Region13Fujian,co2_sink_national,FALSE,CO2Captured,co2captured_Region13Fujian,FALSE
ThermalHydrogenCCS,Region14Jiangxi_CoalGasification_CCS,Region14Jiangxi,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region14Jiangxi,FALSE,Hydrogen,h2_Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region14Jiangxi,FALSE,CO2,co2_Region14Jiangxi,co2_sink_national,FALSE,CO2Captured,co2captured_Region14Jiangxi,FALSE
ThermalHydrogenCCS,Region15Shandong_CoalGasification_CCS,Region15Shandong,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region15Shandong,FALSE,Hydrogen,h2_Region15Shandong,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region15Shandong,FALSE,CO2,co2_Region15Shandong,co2_sink_national,FALSE,CO2Captured,co2captured_Region15Shandong,FALSE
ThermalHydrogenCCS,Region16Henan_CoalGasification_CCS,Region16Henan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region16Henan,FALSE,Hydrogen,h2_Region16Henan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region16Henan,FALSE,CO2,co2_Region16Henan,co2_sink_national,FALSE,CO2Captured,co2captured_Region16Henan,FALSE
ThermalHydrogenCCS,Region17Hubei_CoalGasification_CCS,Region17Hubei,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region17Hubei,FALSE,Hydrogen,h2_Region17Hubei,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region17Hubei,FALSE,CO2,co2_Region17Hubei,co2_sink_national,FALSE,CO2Captured,co2captured_Region17Hubei,FALSE
ThermalHydrogenCCS,Region18Hunan_CoalGasification_CCS,Region18Hunan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region18Hunan,FALSE,Hydrogen,h2_Region18Hunan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region18Hunan,FALSE,CO2,co2_Region18Hunan,co2_sink_national,FALSE,CO2Captured,co2captured_Region18Hunan,FALSE
ThermalHydrogenCCS,Region19Guangdong_CoalGasification_CCS,Region19Guangdong,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region19Guangdong,FALSE,Hydrogen,h2_Region19Guangdong,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region19Guangdong,FALSE,CO2,co2_Region19Guangdong,co2_sink_national,FALSE,CO2Captured,co2captured_Region19Guangdong,FALSE
ThermalHydrogenCCS,Region20Guangxi_CoalGasification_CCS,Region20Guangxi,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region20Guangxi,FALSE,Hydrogen,h2_Region20Guangxi,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region20Guangxi,FALSE,CO2,co2_Region20Guangxi,co2_sink_national,FALSE,CO2Captured,co2captured_Region20Guangxi,FALSE
ThermalHydrogenCCS,Region21Hainan_CoalGasification_CCS,Region21Hainan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region21Hainan,FALSE,Hydrogen,h2_Region21Hainan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region21Hainan,FALSE,CO2,co2_Region21Hainan,co2_sink_national,FALSE,CO2Captured,co2captured_Region21Hainan,FALSE
ThermalHydrogenCCS,Region22Chongqing_CoalGasification_CCS,Region22Chongqing,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region22Chongqing,FALSE,Hydrogen,h2_Region22Chongqing,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region22Chongqing,FALSE,CO2,co2_Region22Chongqing,co2_sink_national,FALSE,CO2Captured,co2captured_Region22Chongqing,FALSE
ThermalHydrogenCCS,Region23Sichuan_CoalGasification_CCS,Region23Sichuan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region23Sichuan,FALSE,Hydrogen,h2_Region23Sichuan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region23Sichuan,FALSE,CO2,co2_Region23Sichuan,co2_sink_national,FALSE,CO2Captured,co2captured_Region23Sichuan,FALSE
ThermalHydrogenCCS,Region24Guizhou_CoalGasification_CCS,Region24Guizhou,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region24Guizhou,FALSE,Hydrogen,h2_Region24Guizhou,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region24Guizhou,FALSE,CO2,co2_Region24Guizhou,co2_sink_national,FALSE,CO2Captured,co2captured_Region24Guizhou,FALSE
ThermalHydrogenCCS,Region25Yunnan_CoalGasification_CCS,Region25Yunnan,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region25Yunnan,FALSE,Hydrogen,h2_Region25Yunnan,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region25Yunnan,FALSE,CO2,co2_Region25Yunnan,co2_sink_national,FALSE,CO2Captured,co2captured_Region25Yunnan,FALSE
ThermalHydrogenCCS,Region26Tibet_CoalGasification_CCS,Region26Tibet,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region26Tibet,FALSE,Hydrogen,h2_Region26Tibet,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region26Tibet,FALSE,CO2,co2_Region26Tibet,co2_sink_national,FALSE,CO2Captured,co2captured_Region26Tibet,FALSE
ThermalHydrogenCCS,Region27Shaanxi_CoalGasification_CCS,Region27Shaanxi,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region27Shaanxi,FALSE,Hydrogen,h2_Region27Shaanxi,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region27Shaanxi,FALSE,CO2,co2_Region27Shaanxi,co2_sink_national,FALSE,CO2Captured,co2captured_Region27Shaanxi,FALSE
ThermalHydrogenCCS,Region28Gansu_CoalGasification_CCS,Region28Gansu,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region28Gansu,FALSE,Hydrogen,h2_Region28Gansu,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region28Gansu,FALSE,CO2,co2_Region28Gansu,co2_sink_national,FALSE,CO2Captured,co2captured_Region28Gansu,FALSE
ThermalHydrogenCCS,Region29Qinghai_CoalGasification_CCS,Region29Qinghai,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region29Qinghai,FALSE,Hydrogen,h2_Region29Qinghai,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region29Qinghai,FALSE,CO2,co2_Region29Qinghai,co2_sink_national,FALSE,CO2Captured,co2captured_Region29Qinghai,FALSE
ThermalHydrogenCCS,Region30Ningxia_CoalGasification_CCS,Region30Ningxia,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region30Ningxia,FALSE,Hydrogen,h2_Region30Ningxia,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region30Ningxia,FALSE,CO2,co2_Region30Ningxia,co2_sink_national,FALSE,CO2Captured,co2captured_Region30Ningxia,FALSE
ThermalHydrogenCCS,Region31Xinjiang_CoalGasification_CCS,Region31Xinjiang,FALSE,TRUE,Hydrogen,1.681104,0,0.024384868,0.295906192,Electricity,elec_Region31Xinjiang,FALSE,Hydrogen,h2_Region31Xinjiang,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,2428895.455,97940.85927,5.873676837,1,0,0.08,25,25,0.85,0.05,0.05,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region31Xinjiang,FALSE,CO2,co2_Region31Xinjiang,co2_sink_national,FALSE,CO2Captured,co2captured_Region31Xinjiang,FALSE
