Unit: tons/year,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,"54,958,027","49,125,996","43,456,733","38,241,205","35,825,817","33,347,032","30,655,575","27,728,885"
Region2Tianjin,"24,166,059","21,791,869","19,419,138","17,177,960","16,167,143","15,141,729","14,051,595","12,892,172"
Region3Hebei,"58,080,925","52,449,767","47,056,929","42,035,808","39,903,224","37,572,905","35,073,041","32,559,183"
Region4Shanxi,"35,323,421","33,668,450","31,720,848","29,647,247","28,388,108","26,984,584","25,430,669","23,777,836"
Region5Innermongolia,"33,995,277","32,179,403","30,146,152","28,013,868","26,632,855","25,080,123","23,364,564","21,562,653"
Region6Liaoning,"24,341,764","21,659,513","19,065,874","16,604,404","15,278,885","13,917,672","12,564,697","11,259,769"
Region7Jilin,"15,176,804","14,104,194","12,964,326","11,791,005","10,928,484","10,010,401","9,049,398","8,091,743"
Region8Heilongjiang,"17,732,628","16,478,343","15,143,466","13,768,145","12,763,581","11,701,164","10,585,665","9,475,267"
Region9Shanghai,"40,426,185","35,913,779","31,636,661","27,698,244","25,753,611","23,722,153","21,569,396","19,347,789"
Region10Jiangsu,"104,640,860","93,452,435","82,898,957","73,239,974","68,786,547","64,035,668","58,929,862","53,676,973"
Region11Zhejiang,"61,430,471","55,216,782","49,224,836","43,596,467","40,977,124","38,121,696","34,980,758","31,661,425"
Region12Anhui,"47,950,489","45,747,304","43,327,081","40,850,600","39,500,680","37,872,572","35,891,230","33,752,604"
Region13Fujian,"44,331,577","40,168,354","36,137,256","32,337,606","30,716,311","28,888,442","26,832,792","24,625,643"
Region14Jiangxi,"33,474,712","32,275,545","30,933,075","29,433,768","28,621,335","27,582,413","26,344,721","25,029,433"
Region15Shandong,"74,935,419","67,257,013","59,942,422","53,087,713","49,886,697","46,462,216","42,848,898","39,218,196"
Region16Henan,"47,195,397","45,639,697","43,703,909","41,547,281","40,446,186","39,154,148","37,655,849","36,056,411"
Region17Hubei,"38,239,540","36,204,659","33,986,066","31,776,528","30,497,912","29,061,980","27,438,543","25,742,902"
Region18Hunan,"36,529,211","34,854,575","33,068,944","31,218,365","30,174,888","28,915,888","27,440,739","25,888,665"
Region19Guangdong,"75,822,285","69,389,736","62,807,444","56,527,905","54,160,674","51,565,607","48,589,669","45,222,152"
Region20Guangxi,"19,254,127","19,268,546","19,152,466","18,931,505","18,891,142","18,707,515","18,386,632","17,966,413"
Region21Hainan,"4,096,260","3,821,220","3,532,749","3,249,998","3,179,365","3,086,507","2,984,844","2,858,404"
Region22Chongqing,"20,830,784","20,176,136","19,351,143","18,406,185","17,658,614","16,856,954","15,996,265","15,085,259"
Region23Sichuan,"42,257,024","40,725,128","38,881,401","36,805,305","35,101,289","33,239,443","31,204,459","29,063,649"
Region24Guizhou,"16,254,207","16,318,702","16,138,293","15,799,378","15,610,188","15,354,308","15,043,255","14,671,332"
Region25Yunnan,"23,565,251","23,225,480","22,642,010","21,863,926","21,239,238","20,419,260","19,433,654","18,336,921"
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,"21,495,951","20,824,104","19,958,552","18,996,917","18,249,960","17,408,702","16,455,846","15,428,152"
Region28Gansu,"8,196,027","8,012,691","7,736,209","7,404,917","7,148,425","6,844,732","6,490,883","6,107,877"
Region29Qinghai,"2,595,294","2,558,522","2,495,261","2,408,783","2,336,837","2,243,233","2,136,832","2,017,049"
Region30Ningxia,"3,334,331","3,344,066","3,315,824","3,258,055","3,225,439","3,162,035","3,089,042","2,989,658"
Region31Xinjiang,"11,914,043","12,135,070","12,242,247","12,275,021","12,422,075","12,457,858","12,520,914","12,459,744"