Unit: tons/hour,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,1.54,2.58,3.91,4.85,4.96,5.01,5.2,6.86
Region2Tianjin,2.96,4.97,7.52,9.33,9.54,9.63,10,13.19
Region3Hebei,63.68,106.84,161.78,200.71,205.17,207.28,215.1,283.81
Region4Shanxi,30.16,50.6,76.62,95.05,97.16,98.16,101.87,134.41
Region5Innermongolia,19.39,32.53,49.25,61.1,62.46,63.1,65.48,86.4
Region6Liaoning,29.24,49.06,74.29,92.16,94.21,95.18,98.77,130.32
Region7Jilin,11.99,20.12,30.46,37.79,38.63,39.03,40.5,53.43
Region8Heilongjiang,12.94,21.71,32.87,40.78,41.69,42.12,43.71,57.67
Region9Shanghai,2.14,3.59,5.44,6.75,6.9,6.97,7.23,9.54
Region10Jiangsu,81.99,137.57,208.31,258.43,264.18,266.89,276.96,365.44
Region11Zhejiang,71.18,119.43,180.84,224.35,229.34,231.69,240.44,317.25
Region12Anhui,76.19,127.83,193.56,240.14,245.48,248,257.36,339.57
Region13Fujian,52.17,87.53,132.55,164.44,168.09,169.82,176.23,232.52
Region14Jiangxi,53.86,90.37,136.83,169.76,173.53,175.31,181.93,240.04
Region15Shandong,85.75,143.87,217.85,270.27,276.28,279.12,289.65,382.18
Region16Henan,63.19,106.02,160.54,199.17,203.6,205.69,213.45,281.64
Region17Hubei,52.76,88.53,134.05,166.3,170,171.74,178.22,235.16
Region18Hunan,59.3,99.49,150.65,186.89,191.05,193.01,200.29,264.28
Region19Guangdong,92.15,154.6,234.1,290.42,296.88,299.93,311.25,410.68
Region20Guangxi,65.13,109.28,165.47,205.29,209.85,212.01,220.01,290.29
Region21Hainan,9.87,16.57,25.08,31.12,31.81,32.14,33.35,44
Region22Chongqing,35.02,58.76,88.98,110.39,112.84,114,118.31,156.1
Region23Sichuan,77.96,130.8,198.06,245.71,251.17,253.75,263.33,347.45
Region24Guizhou,58.12,97.51,147.65,183.18,187.25,189.17,196.31,259.02
Region25Yunnan,70.51,118.31,179.14,222.25,227.19,229.52,238.18,314.27
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,36.56,61.35,92.89,115.25,117.81,119.02,123.51,162.96
Region28Gansu,25.33,42.5,64.35,79.84,81.61,82.45,85.56,112.9
Region29Qinghai,6.58,11.04,16.72,20.75,21.21,21.43,22.23,29.34
Region30Ningxia,10.63,17.84,27.01,33.51,34.25,34.6,35.91,47.38
Region31Xinjiang,21.65,36.32,55,68.23,69.74,70.46,73.12,96.48